"property","value"
"http://dbpedia.org/ontology/abstract","Ahmed Hilmi Abd al-Baqi (Arabic: أحمد حلمي عبد الباقي 1883 - 1963) was a soldier, economist, and politician, who served in various post-Ottoman Empire governments, and was Prime Minister of the short-lived All-Palestine Government in the Gaza Strip."
"http://dbpedia.org/ontology/abstract","Aisha Musa el-Said (also Asha, Ayesha, Mousa, Elsaid, El Said, Saeed, Arabic: عائشة موسى السعيد) is a Sudanese translator and politician who served as a member of the Sovereignty Council of Sudan, the country's collective head of state, between August 2019 and May 2021. Musa was one of six civilians to hold seats in the 11-member transitional government council, which took power following the Sudanese Revolution; the remaining five members were nominated by the Sudanese military. Musa and fellow Sovereignty Council member Raja Nicola are the first two women in modern Sudanese history to hold the role of a head of state. Musa is known as a women's rights activist and for advocating for improved, fairer and more decentralized education, and for the practical application of acquired knowledge in Sudan."
"http://dbpedia.org/ontology/abstract","Alain Vivien (born August 20, 1938) is a French Socialist Party (PS) politician, best known for chairing (1998–2002) the French Mission Interministérielle pour la Lutte contre les Sectes, MILS, a ministerial organization designed to observe the activities of various religious organizations defined as ""Sectes"" (cults)."
"http://dbpedia.org/ontology/abstract","Alaiza Pashkevich (or Ciotka; Belarusian: Алаіза Пашкевіч, Alaiza Paškievič; 15 July 1876 – 5 February 1916) was a Belarusian poet and political activist of Belarusian national-democratic rebirth."
"http://dbpedia.org/ontology/abstract","Archer Kent Blood (March 20, 1923 – September 3, 2004) was an American career diplomat and academic. He served as the last American Consul General to Dhaka, Bangladesh (East Pakistan at the time). He is famous for sending the strongly worded ""Blood Telegram"" protesting against the atrocities committed in the Bangladesh Liberation War. He also served in Greece, Algeria, Germany, Afghanistan and ended his career as charge d'affaires of the U.S. Embassy in New Delhi, India, retiring in 1982."
"http://dbpedia.org/ontology/abstract","Asma Mohamed Abdalla (also: Asmaa, Abdallah, Abdullah; Arabic: أسماء محمد عبد الله‎) is a Sudanese diplomat. She became Sudan's first female Minister of Foreign Affairs in early September 2019 in the Transitional Cabinet of Prime Minister Abdalla Hamdok, during the 2019 Sudanese transition to democracy."
"http://dbpedia.org/ontology/abstract","Barack Hussein Obama II (/bəˈrɑːk huːˈseɪn oʊˈbɑːmə/ bə-RAHK hoo-SAYN oh-BAH-mə; born August 4, 1961) is an American politician who served as the 44th president of the United States from 2009 to 2017. A member of the Democratic Party, Obama was the first African-American president of the United States. He previously served as a U.S. senator from Illinois from 2005 to 2008 and as an Illinois state senator from 1997 to 2004, and previously worked as a civil rights lawyer before entering politics. Obama was born in Honolulu, Hawaii. After graduating from Columbia University in 1983, he worked as a community organizer in Chicago. In 1988, he enrolled in Harvard Law School, where he was the first black president of the Harvard Law Review. After graduating, he became a civil rights attorney and an academic, teaching constitutional law at the University of Chicago Law School from 1992 to 2004. Turning to elective politics, he represented the 13th district in the Illinois Senate from 1997 until 2004, when he ran for the U.S. Senate. Obama received national attention in 2004 with his March Senate primary win, his well-received July Democratic National Convention keynote address, and his landslide November election to the Senate. In 2008, after a close primary campaign against Hillary Clinton, he was nominated by the Democratic Party for president and chose Joe Biden as his running mate. Obama was elected over Republican nominee John McCain in the presidential election and was inaugurated on January 20, 2009. Nine months later, he was named the 2009 Nobel Peace Prize laureate, a decision that drew a mixture of praise and criticism. Obama's first-term actions addressed the global financial crisis and included a major stimulus package, a partial extension of George W. Bush's tax cuts, legislation to reform health care, a major financial regulation reform bill, and the end of a major US military presence in Iraq. Obama also appointed Supreme Court Justices Elena Kagan and Sonia Sotomayor, the latter of whom became the first Hispanic American on the Supreme Court. His policy against terrorism downplayed Bush's counterinsurgency model, expanding air strikes and making extensive use of special forces, and encouraging greater reliance on host-government militaries. He also ordered the counterterrorism raid that killed Osama bin Laden. After winning re-election by defeating Republican opponent Mitt Romney, Obama was sworn in for a second term on January 20, 2013. In his second term, Obama took steps to combat climate change, signing a major international climate agreement and an executive order to limit carbon emissions. Obama also presided over the implementation of the Affordable Care Act and other legislation passed in his first term, and he negotiated a nuclear agreement with Iran and normalized relations with Cuba. The number of American soldiers in Afghanistan fell dramatically during Obama's second term, though U.S. soldiers remained in Afghanistan throughout Obama's presidency. Obama left office on January 20, 2017, and continues to reside in Washington, D.C. His presidential library in Chicago began construction in 2021. During Obama's terms as president, the United States' reputation abroad, as well as the American economy, significantly improved. Rankings by scholars and historians place him among the upper to mid tier of American presidents. Since leaving office, Obama has remained active in Democratic politics, including campaigning for candidates in various American elections. Outside of politics, Obama has published three bestselling books: Dreams from My Father (1995), The Audacity of Hope (2006) and A Promised Land (2020)."
"http://dbpedia.org/ontology/abstract","Fusajirō Yamauchi (山内 房治郎, Yamauchi Fusajirō, 22 November 1859 – 1 January 1940), born Fusajirō Fukui (福井 房治郎), was a Japanese entrepreneur who founded the company that is now known as Nintendo. Yamauchi lived in Kyoto, Japan and had a wife and a daughter, Tei Yamauchi, who later married Sekiryo Kaneda."
"http://dbpedia.org/ontology/abstract","Gustavo Francisco Petro Urrego ODB ODSC (Spanish pronunciation: [ɡusˈtaβo fɾanˈsisko ˈpetɾo uˈreɣo]; born 19 April 1960) is a Colombian economist, politician, and former guerrilla fighter who is the current president of Colombia since 2022. He defeated Rodolfo Hernández Suárez in the second round of the 2022 Colombian presidential election on 19 June. After taking office, Petro was considered by analysts as Colombia's first-ever left-wing president. At 17 years of age, Petro became a member of the guerrilla group 19th of April Movement, which later evolved into the M-19 Democratic Alliance, a political party in which he was elected to be a member of the Chamber of Representatives in the 1991 Colombian parliamentary election. He served as a senator as a member of the Alternative Democratic Pole (PDA) party following the 2006 Colombian parliamentary election with the second-largest vote. In 2009, he resigned his position to run in the 2010 Colombian presidential election, finishing fourth in the race. Due to ideological disagreements with the leaders of the PDA, he founded the Humane Colombia movement to compete for the mayoralty of Bogotá. On 30 October 2011, he was elected mayor in the local elections, a position he assumed on 1 January 2012. In the first round of the 2018 Colombian presidential election, he came second with over 25% of the votes on 27 May, and lost in the run-off election on 17 June."
"http://dbpedia.org/ontology/abstract","John Fitzgerald Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK and the nickname Jack, was an American politician who served as the 35th president of the United States from 1961 until his assassination near the end of his third year in office. Kennedy was the youngest person to assume the presidency by election. He was also the youngest president at the end of his tenure. Kennedy served at the height of the Cold War, and the majority of his work as president concerned relations with the Soviet Union and Cuba. A Democrat, he represented Massachusetts in both houses of the U.S. Congress prior to his presidency. Born into the prominent Kennedy family in Brookline, Massachusetts, Kennedy graduated from Harvard University in 1940 before joining the U.S. Naval Reserve the following year. During World War II, he commanded a series of PT boats in the Pacific theater. Kennedy's survival of the sinking of PT-109 and rescue of his fellow sailors made him a war hero for which he earned the Navy and Marine Corps Medal, but left him with serious injuries. After a brief stint in journalism, Kennedy represented a working-class Boston district in the U.S. House of Representatives from 1947 to 1953. He was subsequently elected to the U.S. Senate and served as the junior senator for Massachusetts from 1953 to 1960. While in the Senate, Kennedy published his book, Profiles in Courage, which won a Pulitzer Prize. In the 1960 presidential election, he narrowly defeated Republican opponent Richard Nixon, who was the incumbent vice president. Kennedy's humor, charm, and youth in addition to his father's money and contacts were great assets in his campaign. Kennedy's campaign gained momentum after the first televised presidential debates in American history. He was the first Catholic elected president. Kennedy's administration included high tensions with communist states in the Cold War. As a result, he increased the number of American military advisers in South Vietnam. The Strategic Hamlet Program began in Vietnam during his presidency. In April 1961, he authorized an attempt to overthrow the Cuban government of Fidel Castro in the failed Bay of Pigs Invasion. In November 1961, he authorized the Operation Mongoose, also aimed at removing the communists from power in Cuba. He rejected Operation Northwoods in March 1962, but his administration continued to plan for an invasion of Cuba in the summer of 1962. The following October, U.S. spy planes discovered Soviet missile bases had been deployed in Cuba; the resulting period of tensions, termed the Cuban Missile Crisis, nearly resulted in the breakout of a global thermonuclear conflict. He also signed the first nuclear weapons treaty in October 1963. Kennedy presided over the establishment of the Peace Corps, Alliance for Progress with Latin America, and the continuation of the Apollo program with the goal of landing a man on the Moon before 1970. He also supported the civil rights movement but was only somewhat successful in passing his New Frontier domestic policies. On November 22, 1963, Kennedy was assassinated in Dallas. His vice president, Lyndon B. Johnson, assumed the presidency upon Kennedy's death. Lee Harvey Oswald, a former U.S. Marine, was arrested for the assassination, but he was shot and killed by Jack Ruby two days later. The FBI and the Warren Commission both concluded Oswald had acted alone. After Kennedy's death, Congress enacted many of his proposals, including the Civil Rights Act of 1964 and the Revenue Act of 1964. Despite his truncated presidency, Kennedy ranks highly in polls of U.S. presidents with historians and the general public. His personal life has also been the focus of considerable sustained interest following public revelations in the 1970s of his chronic health ailments and extramarital affairs. Kennedy is the most recent U.S. president to have died in office."
